tag,tagcount,votescount,tagweight,price,userscore,owners,playtime
Hunting,27,4832,179,5.99,0.66,4110000,6.38
Football,25,1823,73,3.36,0.71,1080000,0.17
Game Development,24,1032,43,8.49,0.88,860000,0.01
Quick-Time Events,24,4506,188,4.99,0.81,5840000,8.44
Agriculture,24,2491,104,9.99,0.74,1300000,4.31
Vampire,24,1694,71,2.49,0.77,2380000,4.09
Lore-Rich,24,7511,313,7.74,0.89,3890000,5.03
Satire,24,2376,99,4.99,0.87,3670000,1.59
Heist,23,7187,312,4.99,0.79,4760000,7.16
Mythology,23,2236,97,4.94,0.85,4110000,2.34
Dark Comedy,23,578,25,2.99,0.85,2590000,5.07
Runner,23,337,15,0.99,0.8,860000,3.38
Warhammer 40K,23,3066,133,6.99,0.83,5840000,4.01
Bullet Time,23,1156,50,4.89,0.87,2590000,3.20
Class-Based,23,8125,353,0.24,0.81,15350000,2.41
Supernatural,23,2293,100,2.99,0.88,4110000,4.15
Mod,23,7743,337,0,0.86,7570000,0.40
World War I,22,1888,86,2.49,0.7,1510000,3.51
Spectacle fighter,21,2820,134,9.99,0.87,3890000,6.44
America,21,3852,183,5.61,0.75,4320000,6.54
Silent Protagonist,21,1562,74,4.99,0.9,18160000,3.10
Programming,21,625,30,9.99,0.9,2810000,2.48
Thriller,20,1136,57,3.99,0.92,860000,3.17
Villain Protagonist,20,926,46,3.99,0.87,4320000,6.24
Time Attack,20,879,44,4.99,0.88,1730000,0.36
Grid-Based Movement,20,670,34,6.11,0.78,1730000,4.31
Software Training,19,697,37,8.49,0.75,1080000,1.15
Fishing,19,2049,108,5.99,0.73,2160000,5.13
Soccer,18,2435,135,0.99,0.75,1300000,0.24
Soundtrack,18,233,13,1.24,0.84,1730000,2.15
TrackIR,17,2341,138,9.49,0.82,6050000,5.42
Capitalism,17,1199,71,7.49,0.81,2590000,4.18
Time Manipulation,17,3105,183,4.44,0.85,2380000,3.09
Rome,17,2054,121,6.89,0.74,1730000,2.49
Mars,16,642,40,6.79,0.69,2380000,2.48
Pinball,16,476,30,4.99,0.66,2590000,0.40
Experience,16,244,15,1.99,0.75,1510000,1.10
Star Wars,15,2346,156,3.49,0.83,3890000,2.14
Based On A Novel,15,2415,161,3.21,0.82,9940000,5.11
Co-op Campaign,15,934,62,4.99,0.8,6480000,3.07
Inventory Management,15,2355,157,3.61,0.89,7780000,5.54
Diplomacy,15,1632,109,4.99,0.9,12540000,6.39
Nonlinear,15,811,54,2.09,0.84,1730000,4.24
6DOF,14,336,24,6.11,0.74,1300000,3.10
Typing,14,672,48,4.99,0.86,3460000,3.42
Sailing,14,485,35,4.24,0.71,1730000,3.35
NSFW,14,687,49,4.49,0.88,2810000,1.46
Chess,14,530,38,5.99,0.69,1300000,0.31
Web Publishing,13,443,34,9.99,0.85,430000,2.08
Gun Customization,13,4938,380,0.99,0.74,10810000,2.15
Asynchronous Multiplayer,13,539,41,4.99,0.69,860000,2.21
Mining,13,610,47,7.99,0.77,1730000,4.44
Philisophical,13,494,38,2.69,0.88,1300000,2.46
Sniper,13,1826,140,0.49,0.69,3670000,2.59
Modern,12,672,56,6.24,0.75,4760000,6.08
Lara Croft,12,1958,163,0.97,0.87,5400000,3.53
Offroad,12,893,74,9.99,0.67,3460000,5.10
Mini Golf,11,647,59,2.49,0.81,6480000,3.13
Music-Based Procedural Generation,11,485,44,4.99,0.81,860000,1.14
Logic,11,184,17,1.99,0.93,3460000,3.33
Horses,11,1839,167,6.49,0.83,9510000,5.27
Batman,10,3927,393,4.99,0.84,6050000,10.38
LEGO,10,2014,201,5.99,0.82,2590000,6.11
Golf,10,532,53,2.49,0.64,8210000,1.50
On-Rails Shooter,10,2693,269,2.39,0.82,2380000,3.58
Martial Arts,10,675,68,3.06,0.8,1080000,4.13
Conspiracy,10,784,78,3.69,0.77,6920000,1.22
Sokoban,8,146,18,0.86,0.74,650000,1.48
Artificial Intelligence,8,141,18,8.99,0.76,1730000,3.38
Benchmark,8,670,84,4.99,0.82,6480000,5.11
Transhumanism,7,832,119,1.99,0.7,8430000,3.27
Werewolves,7,130,19,3.99,0.76,5620000,7.12
Dynamic Narration,7,1569,224,2.99,0.88,9080000,4.05
